date_names,other_names
previous month,previous month
last month,previous month
prev month,previous month
cuurent month,current month
present month,current month
mtd,current month
previous quarter,previous quarter
last quarter,previous quarter
prev quarter,previous quarter
cuurent quarter,current quarter
present quarter,current quarter
qtd,current quarter
previous year,previous year
last year,previous year
prev year,previous year
current year,current year
present year,current year
ytd,current year
quarter 1,q1
quarter1,q1
1st quarter,q1
first quarter,q1
quarter 2,q2
quarter2,q2
2nd quarter,q2
second quarter,q2
quarter 3,q3
quarter3,q3
3rd quarter,q3
third quarter,q3
quarter 4,q4
quarter4,q4
4th quarter,q4
fourth quarter,q4
january,jan
february,feb
march,mar
april,apr
june,jun
july,jul
august,aug
september,sep
october,oct
november,nov
december,dec
